host_since,host_listings_count,host_identity_verified,host_is_superhost,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,beds,amenities,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,reviews_per_month,instant_bookable,bathroom_type,bathroom,smoke_alarm,oven,patio_balcony,fire_extinguisher,shower_gel,amenities_category
2012-03-30,1.0,False,False,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98395,23.72165,Entire home/apt,3,0.0,17,51.5,1,6,219,169,1.5,False,private,1.0,0,0,0,0,0,low
2011-08-09,4.0,True,False,ΑΜΠΕΛΟΚΗΠΟΙ,37.99338,23.77155,Entire home/apt,5,2.0,30,29.87,7,1125,312,332,3.17,False,private,1.0,0,0,0,0,0,medium
2012-04-05,1.0,False,False,ΙΛΙΣΙΑ,37.97497,23.75283,Entire home/apt,4,2.0,29,82.4,2,4,364,31,0.48,False,private,1.0,0,0,0,0,0,medium
2012-04-20,1.0,False,False,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,37.99383,23.7274,Entire home/apt,3,1.0,26,61.800000000000004,7,90,365,24,0.46,False,private,1.0,0,0,0,0,0,low
2012-04-26,1.0,True,True,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.9916,23.72902,Entire home/apt,5,2.0,45,56.65,7,120,27,67,0.75,True,private,1.0,0,0,0,0,0,high
2012-05-04,15.0,True,False,ΘΗΣΕΙΟ,37.97665,23.7185,Entire home/apt,4,2.0,30,142.14000000000001,2,1125,313,60,0.59,True,private,1.0,0,0,0,0,0,medium
2012-05-04,15.0,True,False,ΘΗΣΕΙΟ,37.97525,23.71957,Entire home/apt,4,2.0,31,83.43,1000,1125,203,16,0.15,True,private,1.0,0,0,0,0,0,medium
2012-02-28,5.0,True,True,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97952,23.72999,Entire home/apt,4,2.0,32,51.5,1,1125,0,248,2.41,True,private,1.0,0,0,0,0,0,medium
2012-05-14,10.0,False,False,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97843,23.72564,Entire home/apt,3,1.0,9,123.60000000000001,1,30,365,1,0.01,False,private,1.0,0,0,0,0,0,low
2011-02-24,1.0,True,False,ΠΕΔΙΟ ΑΡΕΩΣ,37.99534,23.74058,Entire home/apt,4,2.0,37,23.69,5,120,253,52,0.47,False,private,1.0,0,0,0,0,0,high
2012-05-14,3.0,True,True,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97291,23.72739,Entire home/apt,5,3.0,31,128.75,1,1125,296,255,2.91,True,private,1.0,0,0,0,0,0,medium
2012-05-23,1.0,False,False,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96716,23.72676,Entire home/apt,3,2.0,29,51.5,7,90,252,11,0.26,False,private,1.0,0,0,0,0,0,medium
2011-11-17,67.0,True,True,ΚΕΡΑΜΕΙΚΟΣ,37.9802,23.72357,Entire home/apt,4,0.0,44,58.71,2,1125,315,8,0.09,False,private,1.0,0,0,0,0,0,high
2011-11-17,67.0,True,True,ΚΕΡΑΜΕΙΚΟΣ,37.9802,23.72357,Entire home/apt,8,2.0,47,123.60000000000001,2,1125,334,8,0.1,False,private,2.5,0,0,0,0,0,high
2012-05-14,3.0,True,True,ΑΚΡΟΠΟΛΗ,37.97277,23.72745,Entire home/apt,3,1.0,15,82.4,1,1125,360,17,0.42,False,private,1.0,0,0,0,0,0,low
2012-05-24,7.0,True,False,ΣΤΑΔΙΟ,37.96887,23.74274,Entire home/apt,4,4.0,14,134.93,1,1125,0,9,0.09,True,private,1.0,0,0,0,0,0,low
2012-05-25,4.0,False,True,ΑΚΡΟΠΟΛΗ,37.96341,23.71816,Entire home/apt,4,2.0,21,41.2,3,30,297,102,1.17,False,private,1.0,0,0,0,0,0,low
2011-11-17,67.0,True,True,ΚΕΡΑΜΕΙΚΟΣ,37.9802,23.72357,Entire home/apt,4,1.0,45,58.71,2,1125,306,7,0.09,False,private,1.0,0,0,0,0,0,high
2011-11-17,67.0,True,True,ΚΕΡΑΜΕΙΚΟΣ,37.9802,23.72357,Entire home/apt,4,2.0,43,57.68,2,1125,318,20,0.7,False,private,1.0,0,0,0,0,0,high
2012-05-24,7.0,True,False,ΣΤΑΔΙΟ,37.9688,23.74276,Entire home/apt,5,4.0,14,124.63000000000001,1,1125,0,18,0.17,True,private,1.0,0,0,0,0,0,low
2012-05-24,7.0,True,False,ΣΤΑΔΙΟ,37.9688,23.74276,Entire home/apt,4,3.0,15,64.89,1,1125,0,5,0.05,True,private,1.0,0,0,0,0,0,low
2011-11-17,67.0,True,True,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96648,23.7276,Entire home/apt,2,1.0,47,63.86,3,1125,365,34,0.35,True,private,1.0,0,0,0,0,0,high
2011-11-17,67.0,True,True,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97506,23.73068,Entire home/apt,3,1.0,44,90.64,2,1125,207,32,0.41,False,private,1.0,0,0,0,0,0,high
2012-05-24,7.0,True,False,ΣΤΑΔΙΟ,37.9688,23.74275,Entire home/apt,2,1.0,14,134.93,1,1125,0,98,1.29,True,private,1.0,0,0,0,0,0,low
2012-05-24,7.0,True,False,ΣΤΑΔΙΟ,37.9688,23.74275,Entire home/apt,4,2.0,10,124.63000000000001,1,1125,0,4,0.05,True,private,1.0,0,0,0,0,0,low
2012-05-24,7.0,True,False,ΣΤΑΔΙΟ,37.96887,23.74274,Entire home/apt,2,2.0,14,81.37,1,365,0,76,0.97,True,private,1.0,0,0,0,0,0,low
2012-05-24,7.0,True,False,ΣΤΑΔΙΟ,37.9688,23.74275,Entire home/apt,4,2.0,14,175.1,1,1125,0,0,0.0,True,private,1.0,0,0,0,0,0,low
2012-06-29,1.0,False,False,ΠΕΤΡΑΛΩΝΑ,37.97,23.71237,Entire home/apt,5,0.0,21,61.800000000000004,3,90,358,14,0.18,True,private,1.5,0,0,0,0,0,low
2012-07-03,1.0,True,True,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97538,23.73264,Entire home/apt,3,2.0,34,39.14,2,1125,351,367,4.03,True,private,1.0,0,0,0,0,0,high
2012-07-02,7.0,True,True,1Ο ΝΕΚΡΟΤΑΦΕΙΟ,37.96302,23.73973,Entire home/apt,8,5.0,28,189.52,3,30,90,10,0.13,True,private,2.0,0,0,0,0,0,medium
2012-06-11,4.0,True,False,ΠΡΟΜΠΟΝΑ,38.02512,23.73536,Entire home/apt,4,1.0,34,28.84,2,60,147,246,2.39,False,private,1.0,0,0,0,0,0,high
2011-06-16,3.0,True,True,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97481,23.72818,Entire home/apt,2,1.0,17,72.10000000000001,2,365,0,142,1.39,True,private,1.0,0,0,0,0,0,low
