host_listings_count,host_identity_verified,host_is_superhost,neighbourhood_cleansed,room_type,accommodates,beds,amenities,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,reviews_per_month,instant_bookable,bathroom_type,bathroom,smoke_alarm,oven,patio_balcony,fire_extinguisher,shower_gel
1.0,True,False,ΑΝΩ ΠΑΤΗΣΙΑ,Entire home/apt,2,1.0,low,30.900000000000002,3,90,145,5,0.17,False,private,1.0,0,0,0,0,0
1.0,True,True,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,Entire home/apt,4,2.0,low,76.22,3,90,213,77,1.15,False,private,1.0,0,1,1,0,0
2.0,False,False,ΚΟΛΩΝΑΚΙ,Entire home/apt,3,2.0,high,123.60000000000001,1,30,359,3,0.07,True,private,1.0,0,1,1,0,0
3.0,True,False,ΑΜΠΕΛΟΚΗΠΟΙ,Entire home/apt,4,3.0,low,36.050000000000004,3,1125,6,30,0.33,False,private,1.0,0,0,0,0,0
1.0,False,False,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,Entire home/apt,3,2.0,low,56.65,4,200,363,30,0.44,False,private,1.0,0,0,0,0,0
2.0,True,False,ΙΛΙΣΙΑ,Entire home/apt,6,2.0,high,61.800000000000004,2,1125,315,23,0.29,True,private,1.0,1,1,1,1,0
1.0,True,False,ΚΥΨΕΛΗ,Entire home/apt,2,1.0,low,46.35,3,1125,363,19,0.22,False,private,1.0,1,0,0,0,0
2.0,True,True,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,Private room,2,1.0,low,41.2,2,90,178,46,0.45,False,shared,1.0,0,0,0,0,0
37.0,True,True,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,Entire home/apt,2,1.0,high,41.2,2,365,292,341,3.84,False,private,1.0,1,0,1,1,1
37.0,True,True,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,Entire home/apt,3,0.0,high,41.2,2,365,341,362,3.68,False,private,1.0,0,0,1,1,1
2.0,True,False,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,Entire home/apt,5,3.0,high,133.9,2,60,0,282,2.75,True,private,1.5,1,1,0,1,1
3.0,True,False,ΑΝΩ ΚΥΨΕΛΗ,Entire home/apt,3,0.0,low,18.54,30,300,132,114,1.11,False,private,1.0,0,0,0,1,0
1.0,False,True,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,Entire home/apt,5,4.0,high,51.5,7,30,362,56,1.15,False,private,1.5,0,1,1,0,1
3.0,True,True,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,Entire home/apt,2,1.0,low,41.2,3,60,252,389,3.81,True,private,1.0,0,0,1,0,0
3.0,True,True,ΑΚΡΟΠΟΛΗ,Entire home/apt,2,1.0,low,32.96,2,60,0,363,3.91,True,private,1.0,0,0,0,0,0
67.0,True,True,ΚΕΡΑΜΕΙΚΟΣ,Entire home/apt,12,3.0,high,181.28,2,1125,318,23,0.38,False,private,3.5,1,1,1,1,0
1.0,True,True,ΚΟΛΩΝΑΚΙ,Entire home/apt,5,2.0,high,61.800000000000004,4,1125,141,35,0.4,False,private,1.0,0,1,0,0,0
22.0,True,True,ΚΟΛΩΝΑΚΙ,Entire home/apt,6,4.0,medium,141.11,2,1125,249,181,1.79,True,private,1.5,0,1,1,0,0
1.0,True,False,ΚΕΡΑΜΕΙΚΟΣ,Entire home/apt,4,2.0,low,92.7,7,30,25,11,0.12,False,private,1.5,0,0,0,0,0
2.0,True,False,ΓΟΥΔΙ,Entire home/apt,4,4.0,low,75.19,2,600,365,12,0.14,False,private,2.0,0,0,0,0,0
7.0,True,True,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,Entire home/apt,3,3.0,low,35.02,3,1125,189,5,0.08,False,private,1.0,0,0,0,0,0
1.0,True,False,ΑΚΑΔΗΜΙΑ ΠΛΑΤΩΝΟΣ,Entire home/apt,4,3.0,high,154.5,2,1125,0,32,0.32,False,private,1.0,0,1,1,1,1
67.0,True,True,ΚΕΡΑΜΕΙΚΟΣ,Entire home/apt,16,4.0,high,249.26000000000002,2,1125,317,24,0.28,False,private,4.5,1,1,1,1,0
2.0,True,False,ΝΕΟΣ ΚΟΣΜΟΣ,Entire home/apt,3,2.0,medium,51.5,3,95,147,33,0.33,False,private,1.0,1,0,1,1,0
